timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1770814406.722746;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;388.00;2438.67;1661.66;1453.99;1808.66;1610.33;709.67;321.67;161.66;161.66;1161.66;1550.00;2652.67;0.00;770.00;0.00;224.67;1754.67;1567.00;1127.00;1549.34;834.67;497.00;1331.66;2231.66
1770814406.7237046;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;388.00;2438.67;1661.66;1453.99;1808.66;1610.33;709.67;321.67;161.66;161.66;1161.66;1550.00;2652.67;0.00;770.00;0.00;224.67;1754.67;1567.00;1127.00;1549.34;834.67;497.00;1331.66;2231.66
1770814406.7489974;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;388.00;2678.67;1901.66;1693.99;2038.66;1610.33;709.67;321.67;161.66;161.66;1161.66;1887.00;2892.67;0.00;770.00;0.00;224.67;1754.67;1867.00;1287.00;1549.34;834.67;834.00;1331.66;2231.66
1770814406.7500296;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;388.00;2678.67;1901.66;1693.99;2038.66;1610.33;709.67;321.67;161.66;161.66;1161.66;1887.00;2892.67;0.00;770.00;0.00;224.67;1754.67;1867.00;1287.00;1549.34;834.67;834.00;1331.66;2231.66
1770814406.7756948;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;388.00;2823.34;2046.33;1838.66;2343.33;1610.33;709.67;321.67;161.66;161.66;1161.66;1999.33;3037.34;0.00;770.00;0.00;224.67;1904.67;2017.00;1287.00;1549.34;834.67;946.33;1331.66;2231.66
1770814406.7767634;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;388.00;2823.34;2046.33;1838.66;2343.33;1610.33;709.67;321.67;161.66;161.66;1161.66;1999.33;3037.34;0.00;770.00;0.00;224.67;1904.67;2017.00;1287.00;1549.34;834.67;946.33;1331.66;2231.66
1770814425.7365654;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;388.00;388.00;2983.34;2206.33;1998.66;2813.33;1937.33;939.67;321.67;161.66;161.66;1161.66;1999.33;3197.34;230.00;770.00;0.00;224.67;2054.67;2129.33;1287.00;1549.34;834.67;946.33;1481.66;2231.66
1770814425.7378175;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;388.00;388.00;2983.34;2206.33;1998.66;2813.33;1937.33;939.67;321.67;161.66;161.66;1161.66;1999.33;3197.34;230.00;770.00;0.00;224.67;2054.67;2129.33;1287.00;1549.34;834.67;946.33;1481.66;2231.66
1770814425.7649815;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;388.00;388.00;2983.34;2206.33;2148.66;3113.33;2312.00;1169.67;551.67;161.66;161.66;1161.66;1999.33;3197.34;230.00;770.00;0.00;454.67;2054.67;2129.33;1287.00;1661.67;984.67;946.33;1481.66;2231.66
1770814425.766078;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;388.00;388.00;2983.34;2206.33;2148.66;3113.33;2312.00;1169.67;551.67;161.66;161.66;1161.66;1999.33;3197.34;230.00;770.00;0.00;454.67;2054.67;2129.33;1287.00;1661.67;984.67;946.33;1481.66;2231.66
