timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1770383209.8078344;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;708.00;1122.01;1554.34;2853.33;2183.33;1168.00;0.00;0.00;0.00;1410.00;310.00;534.67;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383209.808547;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;708.00;1122.01;1554.34;2853.33;2183.33;1168.00;0.00;0.00;0.00;1410.00;310.00;534.67;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;0.00
1770383209.82602;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;320.00;1018.00;1806.68;2079.01;3003.33;2333.33;1168.00;0.00;0.00;0.00;1634.67;310.00;534.67;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;320.00
1770383209.8266952;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;320.00;1018.00;1806.68;2079.01;3003.33;2333.33;1168.00;0.00;0.00;0.00;1634.67;310.00;534.67;0.00;0.00;150.00;0.00;0.00;0.00;0.00;0.00;320.00
1770383209.8469787;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;320.00;1328.00;2266.68;2379.01;3003.33;2333.33;1168.00;0.00;0.00;0.00;1634.67;310.00;534.67;0.00;310.00;470.00;0.00;0.00;0.00;0.00;0.00;320.00
1770383209.8476684;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;320.00;1328.00;2266.68;2379.01;3003.33;2333.33;1168.00;0.00;0.00;0.00;1634.67;310.00;534.67;0.00;310.00;470.00;0.00;0.00;0.00;0.00;0.00;320.00
1770383209.8692994;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;320.00;1328.00;2769.01;2609.01;3083.33;2413.33;1168.00;0.00;0.00;0.00;1634.67;310.00;534.67;0.00;310.00;470.00;0.00;0.00;0.00;0.00;0.00;320.00
1770383209.8699799;0.00;0.00;388.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;320.00;320.00;320.00;1328.00;2769.01;2609.01;3083.33;2413.33;1168.00;0.00;0.00;0.00;1634.67;310.00;534.67;0.00;310.00;470.00;0.00;0.00;0.00;0.00;0.00;320.00
1770383214.4620554;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.33;262.33;262.33;391.67;1631.00;844.67;1984.67;1657.00;432.33;240.00;80.00;32.33;460.00;0.00;224.67;352.33;32.33;150.00;80.00;0.00;0.00;0.00;0.00;0.00
1770383214.4626472;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.33;262.33;262.33;391.67;1631.00;844.67;1984.67;1657.00;432.33;240.00;80.00;32.33;460.00;0.00;224.67;352.33;32.33;150.00;80.00;0.00;0.00;0.00;0.00;0.00
1770383214.4776733;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.33;422.33;422.33;621.67;2133.33;1347.00;2519.34;1807.00;432.33;240.00;80.00;32.33;460.00;0.00;374.67;352.33;32.33;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.478223;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.33;422.33;422.33;621.67;2133.33;1347.00;2519.34;1807.00;432.33;240.00;80.00;32.33;460.00;0.00;374.67;352.33;32.33;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.4957845;0.00;0.00;97.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.33;422.33;422.33;621.67;2363.33;1577.00;2749.34;2261.67;529.33;240.00;80.00;32.33;460.00;0.00;374.67;352.33;32.33;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.4963477;0.00;0.00;97.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.33;422.33;422.33;621.67;2363.33;1577.00;2749.34;2261.67;529.33;240.00;80.00;32.33;460.00;0.00;374.67;352.33;32.33;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.5115242;0.00;0.00;97.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;814.00;2588.00;1577.00;2749.34;2411.67;679.33;400.00;240.00;192.33;460.00;310.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.5120778;0.00;0.00;97.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;814.00;2588.00;1577.00;2749.34;2411.67;679.33;400.00;240.00;192.33;460.00;310.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.5278182;0.00;0.00;97.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;814.00;2588.00;1577.00;2749.34;2898.67;926.33;400.00;240.00;192.33;460.00;460.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.528418;0.00;0.00;97.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;814.00;2588.00;1577.00;2749.34;2898.67;926.33;400.00;240.00;192.33;460.00;460.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.5442102;0.00;0.00;97.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;814.00;3010.33;1737.00;2909.34;3048.67;926.33;400.00;240.00;192.33;460.00;460.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.5447783;0.00;0.00;97.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;814.00;3010.33;1737.00;2909.34;3048.67;926.33;400.00;240.00;192.33;460.00;460.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.5612636;0.00;0.00;194.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;814.00;3010.33;1737.00;3006.34;3358.67;1236.33;400.00;240.00;192.33;460.00;460.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.561837;0.00;0.00;194.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;814.00;3010.33;1737.00;3006.34;3358.67;1236.33;400.00;240.00;192.33;460.00;460.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.578582;0.00;0.00;291.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;814.00;3010.33;1961.67;3198.67;3701.00;1348.66;560.00;240.00;192.33;460.00;460.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.5791996;0.00;0.00;291.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;814.00;3010.33;1961.67;3198.67;3701.00;1348.66;560.00;240.00;192.33;460.00;460.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.5977116;0.00;0.00;291.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;926.33;3192.66;2144.00;3381.00;3733.33;1595.66;560.00;240.00;192.33;460.00;460.00;374.67;352.33;256.99;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.59834;0.00;0.00;291.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;926.33;3192.66;2144.00;3381.00;3733.33;1595.66;560.00;240.00;192.33;460.00;460.00;374.67;352.33;256.99;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.615142;0.00;0.00;291.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;1396.33;3272.66;2294.00;3531.00;3733.33;1595.66;560.00;240.00;192.33;460.00;460.00;374.67;352.33;256.99;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383214.615774;0.00;0.00;291.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;1396.33;3272.66;2294.00;3531.00;3733.33;1595.66;560.00;240.00;192.33;460.00;460.00;374.67;352.33;256.99;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383216.250416;0.00;0.00;291.00;97.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;1284.00;3400.33;2294.00;3531.00;3883.33;1765.66;560.00;240.00;192.33;460.00;460.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383216.2511175;0.00;0.00;291.00;97.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;582.33;742.33;1284.00;3400.33;2294.00;3531.00;3883.33;1765.66;560.00;240.00;192.33;460.00;460.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
1770383227.831482;0.00;0.00;291.00;97.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;192.33;909.33;1052.33;1594.00;3560.33;2454.00;3691.00;4033.33;1915.66;560.00;240.00;192.33;460.00;610.00;374.67;352.33;144.66;150.00;240.00;0.00;0.00;0.00;0.00;0.00
