No.,time,timestamp,number_of_sfc,cpu_utilization,bandwidth_utilization,cache_utilization,latency,duration,success,arrival_time,depart_time,sfc_id
285,None,1695137219.328317,4,0.33222222222222225,0.21489523809523808,0.25,5,0.10456037521362305,1,1695137219.1447372,1695137219.328317,sfc_unique_p2_20
286,None,1695137221.543388,4,0.33222222222222225,0.2148952380952381,0.25,1,0.101959228515625,1,1695137221.4284282,1695137221.543388,sfc_unique_p3_18
287,None,1695137229.6243477,4,0.31833333333333336,0.19383809523809525,0.25,None,0.11724424362182617,0,1695137229.4921024,1695137229.6243477,sfc_cache_p1_17
288,None,1695137229.807446,4,0.33111111111111113,0.20940000000000003,0.25,4,0.10608530044555664,1,1695137229.552117,1695137229.807446,sfc_unique_p1_17
289,None,1695137234.7138484,4,0.3066666666666667,0.17691428571428572,0.20833333333333334,None,0.12392997741699219,0,1695137234.5774095,1695137234.7138484,sfc_cache_p2_17
290,None,1695137234.8990183,4,0.3194444444444445,0.19247619047619052,0.20833333333333334,4,0.11050653457641602,1,1695137234.6369293,1695137234.8990183,sfc_unique_p2_17
291,None,1695137236.719442,4,0.3194444444444445,0.1924761904761905,0.20833333333333334,1,0.10552477836608887,1,1695137236.602413,1695137236.719442,sfc_unique_p1_16
292,None,1695137239.7575393,4,0.2811111111111111,0.17321904761904763,0.16666666666666666,None,0.11086678504943848,0,1695137239.6213548,1695137239.7575393,sfc_cache_p2_16
293,None,1695137239.9565713,4,0.29388888888888887,0.18420952380952382,0.16666666666666666,3,0.10409069061279297,1,1695137239.7950523,1695137239.9565713,sfc_unique_p4_17
294,None,1695137240.1426497,4,0.29388888888888887,0.18420952380952382,0.16666666666666666,None,0.11257123947143555,0,1695137239.770539,1695137240.1426497,sfc_cache_p4_17
295,None,1695137240.3501773,4,0.30666666666666664,0.1860571428571429,0.16666666666666666,1,0.12752699851989746,1,1695137239.6466725,1695137240.3501773,sfc_unique_p2_16
296,None,1695137240.537304,4,0.31305555555555553,0.1869809523809524,0.1875,1,0.11561799049377441,1,1695137240.402684,1695137240.537304,sfc_cache_p1_21
297,None,1695137240.710333,4,0.3258333333333333,0.18882857142857146,0.1875,1,0.11051630973815918,1,1695137240.402684,1695137240.710333,sfc_unique_p1_21
298,None,1695137240.8869383,4,0.3322222222222223,0.19067619047619047,0.20833333333333334,2,0.10903120040893555,1,1695137240.402684,1695137240.8869383,sfc_cache_p2_21
299,None,1695137241.0794678,4,0.345,0.19437142857142858,0.20833333333333334,2,0.11450886726379395,1,1695137240.402684,1695137241.0794678,sfc_unique_p2_21
300,None,1695137241.3395488,4,0.35138888888888886,0.19621904761904763,0.22916666666666666,2,0.1670362949371338,1,1695137240.4036841,1695137241.3395488,sfc_cache_p3_21
301,None,1695137241.6271255,4,0.3641666666666667,0.19991428571428574,0.22916666666666666,2,0.17855334281921387,1,1695137240.4036841,1695137241.6271255,sfc_unique_p3_21
302,None,1695137241.9471889,4,0.3577777777777778,0.19991428571428574,0.25,2,0.20703411102294922,1,1695137240.4036841,1695137241.9471889,sfc_cache_p4_21
303,None,1695137242.2462354,4,0.3705555555555555,0.2054571428571429,0.25,3,0.18003273010253906,1,1695137240.4036841,1695137242.2462354,sfc_unique_p4_21
