Vehicle ID,Coordenada X,Coordenada Y,Velocidade,Server Start,Server End
vehicle_33,9919,9125,52,27,6
vehicle_34,7155,3633,6,16,19
vehicle_41,5589,7470,67,7,3
vehicle_42,6749,8476,44,13,18
vehicle_43,9705,9309,27,27,23
vehicle_44,6876,3305,6,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6983,8065,48,13,15
vehicle_13,9628,9297,43,27,22
vehicle_14,6905,3524,19,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7044,8146,39,13,2
vehicle_23,9688,9326,28,27,14
vehicle_24,6915,3519,0,16,8
vehicle_31,5139,7616,43,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9910,9120,37,27,6
vehicle_34,7156,3630,11,16,19
vehicle_41,5603,7466,53,7,3
vehicle_42,6738,8476,42,13,18
vehicle_43,9701,9315,27,27,23
vehicle_44,6878,3308,12,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6973,8057,47,13,15
vehicle_13,9618,9290,43,27,22
vehicle_14,6900,3529,28,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7044,8135,39,13,2
vehicle_23,9681,9325,25,27,14
vehicle_24,6914,3520,5,16,8
vehicle_31,5134,7609,30,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9904,9119,23,27,6
vehicle_34,7159,3625,19,16,19
vehicle_41,5614,7463,40,7,3
vehicle_42,6731,8475,26,13,18
vehicle_43,9698,9318,13,27,23
vehicle_44,6882,3312,21,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6963,8048,49,13,15
vehicle_13,9607,9283,45,27,22
vehicle_14,6893,3537,37,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7045,8124,39,13,2
vehicle_23,9673,9320,34,27,14
vehicle_24,6911,3523,14,16,8
vehicle_31,5129,7604,28,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9896,9121,32,27,6
vehicle_34,7161,3619,25,16,19
vehicle_41,5620,7462,24,7,3
vehicle_42,6724,8475,24,13,18
vehicle_43,9695,9322,19,27,23
vehicle_44,6887,3319,30,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6952,8040,50,13,15
vehicle_13,9597,9276,46,27,22
vehicle_14,6884,3546,46,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7045,8117,26,13,2
vehicle_23,9663,9316,38,27,14
vehicle_24,6907,3527,21,16,8
vehicle_31,5121,7601,26,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9888,9119,31,27,6
vehicle_34,7163,3610,33,16,19
vehicle_41,5622,7461,7,7,3
vehicle_42,6718,8472,26,13,18
vehicle_43,9689,9326,27,27,23
vehicle_44,6893,3327,38,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6942,8031,48,13,15
vehicle_13,9586,9269,45,27,22
vehicle_14,6873,3556,52,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7041,8111,27,13,2
vehicle_23,9654,9310,40,27,14
vehicle_24,6901,3533,30,16,8
vehicle_31,5111,7601,35,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9884,9111,31,27,6
vehicle_34,7165,3599,41,16,19
vehicle_41,5622,7461,1,7,3
vehicle_42,6716,8466,23,13,18
vehicle_43,9680,9324,35,27,23
vehicle_44,6901,3337,46,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6931,8023,50,13,15
vehicle_13,9576,9262,44,27,22
vehicle_14,6862,3568,59,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7035,8106,27,13,2
vehicle_23,9644,9304,41,27,14
vehicle_24,6893,3540,39,16,8
vehicle_31,5100,7603,42,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9879,9101,40,27,6
vehicle_34,7167,3585,48,16,19
vehicle_41,5622,7461,0,7,3
vehicle_42,6717,8460,23,13,18
vehicle_43,9669,9319,43,27,23
vehicle_44,6909,3347,44,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6920,8014,48,13,15
vehicle_13,9567,9255,43,27,22
vehicle_14,6851,3579,57,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7027,8100,34,13,2
vehicle_23,9634,9297,42,27,14
vehicle_24,6884,3549,45,16,8
vehicle_31,5086,7607,50,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9873,9091,43,27,6
vehicle_34,7165,3570,55,16,19
vehicle_41,5622,7461,0,7,3
vehicle_42,6718,8451,32,13,18
vehicle_43,9657,9312,50,27,23
vehicle_44,6916,3357,44,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6910,8005,49,13,15
vehicle_13,9557,9247,45,27,22
vehicle_14,6844,3588,41,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7019,8094,37,13,2
vehicle_23,9625,9291,41,27,14
vehicle_24,6874,3560,53,16,8
vehicle_31,5070,7611,59,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9868,9084,29,27,6
vehicle_34,7162,3554,62,16,19
vehicle_41,5622,7461,0,7,3
vehicle_42,6720,8440,39,13,18
vehicle_43,9646,9305,48,27,23
vehicle_44,6924,3366,44,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6901,7996,47,13,15
vehicle_13,9547,9239,46,27,22
vehicle_14,6839,3593,24,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7011,8087,39,13,2
vehicle_23,9614,9288,39,27,14
vehicle_24,6863,3572,60,16,8
vehicle_31,5053,7615,65,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9862,9078,29,27,6
vehicle_34,7155,3537,65,16,19
vehicle_41,5622,7461,0,7,3
vehicle_42,6723,8427,47,13,18
vehicle_43,9636,9298,45,27,23
vehicle_44,6931,3376,44,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6891,7987,47,13,15
vehicle_13,9540,9234,33,27,22
vehicle_14,6836,3594,11,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,7002,8080,39,13,2
vehicle_23,9605,9281,42,27,14
vehicle_24,6854,3582,47,16,8
vehicle_31,5033,7620,74,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9854,9079,31,27,6
vehicle_34,7146,3521,65,16,19
vehicle_41,5622,7461,0,7,3
vehicle_42,6724,8416,41,13,18
vehicle_43,9624,9291,50,27,23
vehicle_44,6939,3386,44,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6883,7981,37,13,15
vehicle_13,9536,9231,19,27,22
vehicle_14,6836,3591,12,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,6994,8073,39,13,2
vehicle_23,9595,9275,43,27,14
vehicle_24,6844,3593,54,16,8
vehicle_31,5014,7624,70,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9846,9082,29,27,6
vehicle_34,7136,3506,67,16,19
vehicle_41,5622,7461,0,7,3
vehicle_42,6725,8409,25,13,18
vehicle_43,9613,9283,47,27,23
vehicle_44,6946,3395,43,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6878,7976,26,13,15
vehicle_13,9534,9229,7,27,22
vehicle_14,6839,3588,17,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,6985,8066,40,13,2
vehicle_23,9585,9268,42,27,14
vehicle_24,6832,3605,60,16,8
vehicle_31,4999,7628,54,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9835,9082,37,27,6
vehicle_34,7126,3491,65,16,19
vehicle_41,5622,7461,0,7,3
vehicle_42,6726,8406,11,13,18
vehicle_43,9602,9276,51,27,23
vehicle_44,6953,3405,45,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6871,7969,35,13,15
vehicle_13,9534,9229,1,27,22
vehicle_14,6844,3583,24,16,3
vehicle_21,5621,7455,0,7,15
vehicle_22,6976,8059,41,13,2
vehicle_23,9576,9262,39,27,14
vehicle_24,6819,3618,68,16,8
vehicle_31,4987,7630,42,7,6
vehicle_32,6723,8405,0,13,27
vehicle_33,9825,9075,43,27,6
vehicle_34,7116,3475,67,16,19
vehicle_41,5622,7461,0,7,3
vehicle_42,6726,8405,4,13,18
vehicle_43,9590,9268,48,27,23
vehicle_44,6961,3415,44,16,13
vehicle_11,5622,7458,0,7,2
vehicle_12,6869,7961,31,13,15
vehicle_13,9534,9229,0,27,22
vehicle_14,6849,3577,30,16,3
vehicle_15,6981,7185,0,14,19
