timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772814127.2773783;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;754.00;968.67;1074.01;689.34;720.00;560.00;609.34;466.33;240.00;320.00;224.67;32.33;369.34;1160.00;706.33;1136.33;704.67;929.34;439.33;480.00;534.66;224.67;224.66;721.67
1772814127.2784412;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;754.00;968.67;1074.01;689.34;720.00;560.00;609.34;466.33;240.00;320.00;224.67;32.33;369.34;1160.00;706.33;1136.33;704.67;929.34;439.33;480.00;534.66;224.67;224.66;721.67
1772814127.3063688;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;754.00;968.67;1074.01;689.34;720.00;560.00;609.34;466.33;320.00;464.67;369.34;32.33;369.34;1384.67;856.33;1136.33;704.67;929.34;439.33;480.00;534.66;224.67;336.99;721.67
1772814127.307413;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;754.00;968.67;1074.01;689.34;720.00;560.00;609.34;466.33;320.00;464.67;369.34;32.33;369.34;1384.67;856.33;1136.33;704.67;929.34;439.33;480.00;534.66;224.67;336.99;721.67
1772814127.3348393;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;754.00;968.67;1074.01;689.34;720.00;560.00;609.34;466.33;400.00;609.34;466.34;32.33;369.34;1919.34;1006.33;1136.33;704.67;929.34;439.33;480.00;534.66;337.00;336.99;721.67
1772814127.335923;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;754.00;968.67;1074.01;689.34;720.00;560.00;609.34;466.33;400.00;609.34;466.34;32.33;369.34;1919.34;1006.33;1136.33;704.67;929.34;439.33;480.00;534.66;337.00;336.99;721.67
1772814127.3633237;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;818.67;1033.34;1138.68;754.01;784.67;720.00;769.34;466.33;480.00;641.67;498.67;97.00;369.34;1919.34;1156.33;1286.33;704.67;929.34;439.33;704.67;534.66;337.00;336.99;721.67
1772814127.3644583;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;818.67;1033.34;1138.68;754.01;784.67;720.00;769.34;466.33;480.00;641.67;498.67;97.00;369.34;1919.34;1156.33;1286.33;704.67;929.34;439.33;704.67;534.66;337.00;336.99;721.67
1772814127.391346;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;485.00;818.67;1033.34;1138.68;754.01;784.67;720.00;769.34;466.33;560.00;738.67;595.67;97.00;369.34;2069.34;1306.33;1286.33;704.67;929.34;439.33;704.67;534.66;337.00;336.99;721.67
1772814127.3925111;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;485.00;818.67;1033.34;1138.68;754.01;784.67;720.00;769.34;466.33;560.00;738.67;595.67;97.00;369.34;2069.34;1306.33;1286.33;704.67;929.34;439.33;704.67;534.66;337.00;336.99;721.67
1772814127.4200532;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;818.67;1033.34;1138.68;754.01;784.67;720.00;769.34;466.33;640.00;835.67;692.67;97.00;369.34;2219.34;1456.33;1286.33;704.67;929.34;439.33;704.67;534.66;337.00;336.99;721.67
